"square_meters","bathrooms_number","lift","rooms_number","car_parking","condominium_fees","conditions","floor","heating_centralized","selling_price","fireplace","hydromassage","video_entryphone","terrace","security_door","tavern","optic_fiber","electric_gate","pool","tennis_court","alarm_system","attic","balcony","cellar","closet","reception","concierge","furnished","garden","exposure","window_glass","window_material","zona_new","year","total_floors","house_efficiency"
83,"1","yes","3","none",0,"new / under construction","5","independent",620000,"no","no","yes","no","yes","no","yes","yes","no","no","no","yes","yes","no","no","no",0.5,0,"no garden","double","other","other","porta romana - medaglie d'oro","Very Old",5,"High"
80,"1","yes","2","none",0,"new / under construction","4","central",401000,"no","no","no","no","yes","no","no","no","no","no","no","no","yes","yes","no","no",1,0,"no garden","other","other","other","martini - insubria","Modern",8,"Low"
55,"1","yes","2","none",125,"excellent / refurbished","1","central",605000,"no","no","yes","no","yes","no","no","no","no","no","yes","no","no","no","no","no",1,0.5,"no garden","single","other","other","cadorna - castello","Very Old",3,"Low"
115,"2","yes","3","shared",24,"excellent / refurbished","4","central",840000,"no","no","no","yes","no","no","no","no","no","no","no","no","no","yes","no","no",0,0,"no garden","double","other","other","porta romana - medaglie d'oro","Modern",5,"Low"
110,"1","yes","4","none",200,"to be refurbished","mezzanine","central",738000,"no","no","yes","no","no","no","yes","yes","no","no","no","no","no","yes","no","no",1,0,"shared","single","other","wood","frua","Modern",7,"Low"
55,"1","yes","2","none",170,"good condition / liveable","1","central",299000,"no","no","yes","no","yes","no","yes","yes","no","no","no","no","yes","no","no","no",1,0,"shared","single","other","wood","casoretto","Recent/New",2,"Med"
111,"1","yes","3","none",290,"excellent / refurbished","1","independent",1100000,"no","no","yes","no","yes","no","yes","yes","no","no","yes","no","yes","no","yes","no",1,1,"no garden","double","other","other","carrobbio","Very Old",4,"Med"
188,"3","yes","5+","none",750,"excellent / refurbished","1","central",1185000,"no","no","no","no","yes","no","yes","yes","no","no","no","no","yes","yes","yes","no",1,1,"shared","double","other","other","pezzotti - meda","Modern",8,"Low"
55,"1","yes","2","none",280,"good condition / liveable","2","central",315000,"no","no","yes","no","yes","no","yes","yes","no","no","no","no","yes","no","no","no",0.5,0.5,"no garden","double","other","other","porta vittoria","Old",6,"Low"
57,"1","yes","2","none",70,"excellent / refurbished","1","independent",265000,"no","no","no","no","yes","no","yes","no","no","no","no","no","yes","yes","no","no",0,0,"no garden","double","other","other","cenisio","Old",5,"Low"
170,"2","yes","4","none",500,"good condition / liveable","5","central",1550000,"no","yes","no","no","yes","no","no","no","no","no","no","no","yes","no","yes","no",0.5,0.5,"no garden","double","other","wood","corso genova","Modern",7,"Low"
110,"2","yes","3","garage/box",333,"good condition / liveable","5","central",370000,"no","no","no","no","yes","no","yes","yes","no","no","no","no","yes","yes","no","no",1,0,"shared","single","other","wood","affori","Modern",6,"Low"
110,"2","yes","3","none",200,"excellent / refurbished","6","central",630000,"no","no","yes","no","yes","no","yes","yes","no","no","no","no","yes","yes","yes","no",0,0,"no garden","double","other","other","casoretto","Old",8,"Med"
50,"1","yes","2","none",63,"to be refurbished","2","independent",295000,"no","no","yes","no","yes","no","yes","no","no","no","yes","no","no","no","no","no",0,0.5,"shared","double","other","other","porta romana - medaglie d'oro","Very Old",4,"Low"
150,"3","yes","5+","none",350,"excellent / refurbished","1","central",1e+06,"no","no","yes","no","yes","no","yes","no","no","no","no","no","yes","yes","yes","no",1,1,"no garden","double","other","other","centrale","Modern",4,"Low"
75,"2","yes","3","none",0,"new / under construction","2","central",611000,"no","no","no","no","yes","no","no","no","no","no","no","no","yes","yes","no","no",1,0,"no garden","other","other","other","morgagni","Old",4,"Low"
45,"1","no","2","none",125,"good condition / liveable","3","central",225000,"no","no","no","no","yes","no","yes","no","no","no","no","no","no","yes","no","no",0,1,"no garden","single","other","other","giambellino","Old",4,"Low"
95,"1","no","3","none",130,"good condition / liveable","1","central",310000,"no","no","no","no","no","no","yes","yes","no","no","no","yes","no","yes","yes","no",0.5,0,"no garden","double","other","other","certosa","Old",5,"Low"
80,"1","yes","3","none",160,"to be refurbished","2","central",395000,"no","no","yes","no","yes","no","yes","yes","no","no","no","yes","yes","no","no","no",0.5,0,"no garden","single","other","other","rovereto","Old",6,"Low"
73,"1","yes","3","none",230,"good condition / liveable","5","central",370000,"no","no","no","no","no","no","no","no","no","no","no","no","yes","yes","no","no",0,0,"shared","double","other","other","casoretto","Modern",6,"Low"
70,"1","yes","2","none",140,"new / under construction","3","central",403000,"no","no","yes","yes","yes","no","yes","yes","yes","no","no","no","no","yes","no","no",1,0,"shared","single","other","other","cascina merlata - musocco","Recent/New",19,"High"
100,"1","yes","2","none",0,"new / under construction","4","central",665000,"no","no","no","no","yes","no","no","no","no","no","no","no","yes","yes","no","no",0,0,"no garden","other","other","other","zara","Modern",6,"Low"
116,"2","no","4","shared",250,"new / under construction","ground floor","independent",679000,"no","no","yes","yes","yes","no","yes","yes","no","no","yes","no","no","yes","no","no",0,0,"private","single","other","other","gambara","Recent/New",2,"High"
90,"1","yes","2","garage/box",250,"good condition / liveable","4","central",330000,"no","no","yes","no","no","no","no","yes","no","no","no","no","no","yes","no","no",1,0.5,"shared","single","other","wood","bovisa","Very Old",4,"Low"
42,"1","no","2","none",100,"to be refurbished","ground floor","central",2e+05,"no","no","no","no","yes","no","yes","no","no","no","no","no","no","no","no","no",0,0,"no garden","single","other","other","gorla","Modern",3,"Low"
95,"2","yes","3","none",117,"excellent / refurbished","1","central",820000,"no","no","no","yes","yes","no","no","no","no","no","no","no","yes","yes","no","no",1,0,"shared","double","other","wood","portello - parco vittoria","Recent/New",5,"High"
137,"2","yes","3","garage/box",675,"good condition / liveable","4","central",549000,"no","no","yes","no","yes","no","no","yes","no","no","no","no","yes","yes","yes","no",1,0,"shared","double","other","other","cermenate - abbiategrasso","Old",7,"Low"
107,"1","yes","3","garage/box",250,"good condition / liveable","4","central",310000,"no","no","no","no","no","no","no","no","no","no","no","no","yes","yes","no","no",0,0,"shared","other","other","other","santa giulia","Modern",8,"Low"
165,"2","no","5","none",100,"good condition / liveable","ground floor","independent",850000,"no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no",0,0.5,"shared","other","other","other","barona","Very Old",4,"Low"
100,"1","yes","3","none",125,"good condition / liveable","1","independent",760000,"no","no","no","no","yes","no","yes","no","no","no","no","no","no","yes","yes","no",1,0,"no garden","double","other","wood","piave - tricolore","Very Old",4,"Low"
79,"1","yes","2","none",140,"good condition / liveable","3","central",278000,"no","no","no","no","yes","no","no","no","no","no","no","no","yes","yes","no","no",0.5,0,"no garden","double","other","wood","corvetto","Very Old",4,"Low"
53,"1","yes","2","none",150,"excellent / refurbished","8","central",340000,"no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no",0,0.5,"no garden","other","other","other","duomo","Modern",8,"High"
60,"1","yes","2","none",120,"good condition / liveable","3","independent",185000,"no","no","yes","no","yes","no","yes","no","no","no","no","no","yes","yes","no","no",0,0.5,"no garden","single","other","other","gorla","Old",5,"Low"
75,"1","yes","2","none",0,"new / under construction","2","central",451000,"no","no","no","no","yes","no","no","no","no","no","no","no","yes","yes","no","no",0,0,"no garden","other","other","other","ripamonti","Modern",6,"Low"
75,"2","yes","3","shared",100,"new / under construction","ground floor","central",295000,"no","no","yes","yes","yes","no","yes","yes","no","no","yes","no","yes","no","yes","no",0,1,"private","double","triple","other","greco - segnano","Recent/New",2,"High"
65,"1","no","3","none",50,"good condition / liveable","3","independent",165000,"no","no","no","no","yes","no","yes","no","no","no","no","no","no","no","yes","no",0,0,"shared","double","other","other","vigentino - fatima","Very Old",3,"Low"
142,"2","yes","5","none",475,"good condition / liveable","5","central",1050000,"no","no","yes","yes","yes","no","no","no","no","no","yes","no","yes","yes","no","no",1,0,"shared","double","other","other","frua","Modern",8,"Low"
300,"2","no","4","none",330,"to be refurbished","semi-basement","central",245000,"no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no",0,0,"shared","double","other","other","cimiano","Old",3,"Low"
160,"2","yes","4","none",340,"excellent / refurbished","1","central",830000,"no","no","yes","yes","no","no","yes","yes","no","no","no","no","no","yes","yes","no",1,1,"shared","double","other","other","cenisio","Old",8,"Med"
84,"1","yes","2","none",100,"good condition / liveable","ground floor","independent",445000,"no","no","no","yes","yes","no","yes","no","no","no","no","no","no","no","yes","no",0,0.5,"no garden","double","other","other","sempione","Very Old",3,"Low"
120,"2","no","4","shared",150,"excellent / refurbished","ground floor","independent",450000,"no","no","yes","no","yes","no","yes","yes","no","no","no","no","no","yes","no","no",0,0,"private","single","other","wood","quintosole - chiaravalle","Modern",3,"Low"
47,"1","no","2","none",100,"to be refurbished","1","independent",160000,"yes","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no",0,0,"no garden","single","other","wood","cimiano","Very Old",3,"Low"
100,"1","yes","3","none",250,"good condition / liveable","2","central",530000,"no","no","yes","no","yes","no","yes","no","no","no","no","no","yes","yes","no","no",0.5,0,"no garden","double","other","wood","corso san gottardo","Old",4,"Med"
93,"1","yes","3","none",200,"good condition / liveable","2","central",765000,"no","no","yes","no","yes","no","yes","yes","no","no","no","no","yes","no","yes","no",1,0.5,"no garden","double","other","wood","piave - tricolore","Very Old",5,"Low"
40,"1","yes","2","none",70,"good condition / liveable","4","independent",325000,"no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes",0,1,"no garden","other","other","wood","garibaldi - corso como","Very Old",5,"Low"
60,"1","yes","3","none",210,"excellent / refurbished","1","central",440000,"no","no","no","no","yes","no","yes","no","no","no","no","no","no","yes","no","no",0,0,"no garden","single","other","other","washington","Old",8,"Low"
140,"1","yes","4","none",375,"to be refurbished","2","central",830000,"no","no","no","no","yes","no","yes","no","no","no","no","no","yes","yes","no","no",0.5,0,"no garden","double","other","other","città studi","Old",8,"Low"
85,"2","yes","3","garage/box",170,"excellent / refurbished","1","independent",295000,"no","no","yes","yes","yes","no","yes","yes","no","no","no","no","yes","yes","no","no",0,0,"shared","double","other","wood","cantalupa - san paolo","Recent/New",2,"High"
150,"2","yes","4","garage/box and shared",625,"to be refurbished","3","central",780000,"no","no","yes","no","yes","no","yes","no","no","no","no","no","yes","yes","no","no",1,0,"shared","double","other","wood","pagano","Modern",8,"Med"
50,"1","yes","2","none",160,"excellent / refurbished","1","central",368000,"no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no",0.5,0,"no garden","single","other","other","washington","Very Old",4,"Low"
185,"2","yes","5","none",500,"excellent / refurbished","2","central",735000,"no","no","no","no","yes","no","yes","no","no","no","no","no","yes","yes","no","no",0.5,0,"shared","double","other","other","lorenteggio","Old",8,"Low"
331,"3+","no","5","none",50,"excellent / refurbished","ground floor","independent",1760000,"yes","yes","yes","yes","yes","yes","yes","yes","no","no","yes","yes","yes","yes","no","no",0,0,"private","double","other","wood","plebisciti - susa","Very Old",3,"High"
91,"2","no","3","none",250,"good condition / liveable","mezzanine","central",335000,"no","no","no","no","yes","no","yes","yes","no","no","no","no","no","no","no","no",0.5,0,"no garden","single","other","wood","gambara","Very Old",1,"Low"
58,"1","no","2","none",50,"new / under construction","mezzanine","central",233000,"no","no","yes","no","yes","no","no","yes","no","no","no","no","no","no","no","no",0.5,0,"shared","single","other","other","corvetto","Old",7,"Med"
110,"2","yes","4","garage/box",210,"good condition / liveable","8","central",295000,"no","no","yes","no","yes","no","no","no","no","no","no","no","no","no","no","no",0,0,"no garden","single","other","other","quarto cagnino","Modern",8,"Low"
96,"2","yes","3","none",175,"excellent / refurbished","2","central",632000,"no","no","yes","no","yes","no","yes","yes","no","no","no","no","yes","yes","no","no",1,0.5,"shared","double","other","wood","sempione","Very Old",5,"Med"
60,"1","yes","2","garage/box",180,"excellent / refurbished","2","central",267000,"no","no","yes","no","yes","no","yes","yes","no","no","no","no","yes","no","yes","no",1,0,"shared","single","other","other","viale ungheria - mecenate","Recent/New",6,"High"
240,"2","yes","5+","none",120,"excellent / refurbished","1","central",2200000,"no","no","no","no","no","no","no","no","no","no","no","no","yes","yes","no","no",0,0,"no garden","other","other","other","guastalla","Very Old",6,"Med"
70,"1","yes","2","none",100,"excellent / refurbished","1","independent",490000,"no","no","yes","no","yes","no","no","yes","no","no","yes","no","no","yes","yes","no",0,1,"shared","single","other","other","navigli - darsena","Recent/New",1,"Med"
171,"2","yes","4","garage/box",300,"good condition / liveable","1","central",799000,"no","no","no","yes","yes","no","no","no","no","no","yes","no","yes","yes","no","no",0.5,0.5,"shared","double","other","wood","istria","Modern",4,"Low"
72,"1","yes","2","garage/box",150,"new / under construction","ground floor","central",407000,"no","no","yes","no","yes","no","yes","yes","no","no","yes","no","no","yes","no","no",0,0.5,"private","single","other","other","famagosta","Recent/New",3,"High"
96,"2","yes","3","none",270,"excellent / refurbished","1","central",570000,"no","no","yes","no","yes","no","yes","yes","no","no","no","no","yes","no","yes","no",0.5,1,"no garden","double","other","other","monte rosa - lotto","Modern",8,"Med"
50,"1","yes","2","none",130,"excellent / refurbished","5","central",279000,"no","no","yes","no","yes","no","yes","yes","no","no","yes","no","yes","yes","yes","no",1,1,"no garden","double","triple","other","ghisolfa - mac mahon","Old",8,"Med"
50,"1","yes","2","none",150,"good condition / liveable","2","central",288000,"no","no","yes","no","yes","no","no","yes","no","no","no","no","yes","yes","no","no",0.5,0,"shared","single","other","other","molise - cuoco","Old",6,"Low"
83,"1","yes","2","none",150,"good condition / liveable","3","independent",430000,"no","no","no","no","yes","no","no","no","no","no","no","no","no","yes","no","no",0,1,"no garden","double","other","other","pezzotti - meda","Very Old",3,"Low"
67,"1","yes","2","none",60,"good condition / liveable","5","independent",490000,"no","no","yes","yes","yes","no","yes","yes","no","no","no","no","no","no","no","no",0.5,0,"no garden","single","other","other","isola","Very Old",5,"Low"
140,"2","yes","3","shared",550,"excellent / refurbished","2","central",780000,"yes","no","no","no","yes","no","yes","yes","no","no","no","no","yes","yes","yes","no",0,0,"shared","double","other","wood","sempione","Old",4,"Low"
91,"1","yes","3","none",200,"good condition / liveable","mezzanine","central",580000,"no","no","no","no","no","no","no","yes","no","no","no","no","no","yes","yes","no",1,0.5,"no garden","double","other","other","isola","Very Old",3,"Low"
102,"2","yes","4","none",122,"excellent / refurbished","2","independent",459000,"no","no","no","no","yes","no","no","no","no","no","no","no","yes","yes","no","no",0,0,"no garden","double","other","other","città studi","Very Old",5,"Med"
30,"1","yes","1","none",100,"good condition / liveable","1","central",130000,"no","no","no","no","no","no","no","no","no","no","no","no","yes","yes","no","no",0.5,1,"shared","single","other","wood","dergano","Old",7,"Low"
50,"1","yes","2","none",100,"excellent / refurbished","mezzanine","independent",220000,"no","no","no","no","yes","no","yes","no","no","no","no","no","no","yes","no","no",0,1,"no garden","single","other","other","certosa","Very Old",5,"Low"
80,"2","yes","2","none",0,"new / under construction","1","central",565000,"no","no","no","no","yes","no","no","no","no","no","no","no","yes","yes","no","no",0,0,"no garden","other","other","other","centrale","Old",7,"Low"
63,"1","yes","2","none",125,"good condition / liveable","3","central",339000,"no","no","yes","no","yes","no","no","no","no","no","no","no","yes","yes","no","no",1,0,"shared","double","other","other","lodi - brenta","Modern",7,"Low"
120,"2","yes","3","garage/box",300,"to be refurbished","1","central",715000,"no","no","yes","no","yes","no","yes","no","no","no","no","no","yes","yes","no","no",1,0,"no garden","double","other","wood","monte rosa - lotto","Modern",6,"Low"
82,"2","yes","3","shared",190,"good condition / liveable","2","central",509000,"no","no","yes","no","yes","no","yes","yes","no","no","no","no","yes","yes","no","no",1,1,"no garden","single","other","other","buenos aires","Old",6,"Low"
46,"1","yes","2","none",100,"good condition / liveable","6","central",160000,"no","no","no","no","no","no","no","yes","no","no","no","no","yes","no","no","no",1,0.5,"shared","single","other","other","turro","Modern",8,"Low"
50,"1","yes","2","none",200,"good condition / liveable","mezzanine","central",230000,"no","no","no","no","yes","no","yes","no","no","no","no","no","no","yes","yes","no",0,0,"shared","double","other","wood","rubattino","Old",4,"Low"
102,"1","yes","3","shared",370,"good condition / liveable","1","central",495000,"no","no","yes","no","yes","no","yes","yes","no","no","no","no","yes","yes","yes","no",1,1,"shared","single","other","other","paolo sarpi","Modern",7,"Low"
65,"1","yes","2","none",125,"excellent / refurbished","1","central",268000,"no","no","yes","no","yes","no","yes","no","no","no","no","no","yes","yes","yes","no",0.5,0,"shared","single","other","other","corvetto","Old",4,"Low"
170,"2","yes","4","none",500,"good condition / liveable","6","central",1290000,"no","no","no","yes","yes","no","no","no","no","no","no","no","yes","yes","no","no",0.5,0,"no garden","double","other","wood","washington","Modern",6,"Low"
125,"2","yes","3","none",300,"excellent / refurbished","mezzanine","independent",895000,"no","no","no","no","yes","no","no","no","no","no","yes","no","yes","no","no","no",0,0,"private","double","other","other","porta venezia","Very Old",4,"Med"
51,"1","yes","2","none",100,"good condition / liveable","4","central",280000,"no","no","no","no","yes","no","yes","no","no","no","yes","no","yes","yes","no","no",0,1,"no garden","double","other","other","corvetto","Old",6,"Low"
80,"1","yes","2","none",225,"good condition / liveable","5","central",350000,"no","no","yes","yes","yes","no","yes","yes","no","no","no","no","yes","yes","no","no",1,0,"shared","double","other","wood","vigentino - fatima","Modern",5,"Med"
150,"2","yes","4","garage/box",340,"new / under construction","1","central",699000,"no","no","yes","yes","yes","no","yes","yes","no","no","yes","no","yes","yes","no","no",1,0,"shared","double","other","other","bovisa","Recent/New",12,"High"
90,"1","yes","3","none",200,"new / under construction","1","central",640000,"no","no","yes","no","yes","no","yes","yes","no","no","yes","no","yes","yes","no","no",1,0,"no garden","double","triple","wood","città studi","Old",5,"High"
150,"2","yes","4","none",200,"excellent / refurbished","2","independent",840000,"yes","no","yes","no","yes","no","yes","yes","no","no","no","no","no","yes","yes","no",1,0.5,"private","double","other","other","porta romana - medaglie d'oro","Modern",4,"Med"
210,"3","yes","5","none",150,"excellent / refurbished","3","central",1590000,"no","no","yes","no","no","no","yes","yes","no","no","yes","no","yes","yes","no","no",1,0,"shared","double","other","other","amendola - buonarroti","Old",8,"Low"
189,"2","yes","5+","garage/box",246,"new / under construction","mezzanine","central",1100000,"no","no","yes","yes","yes","no","no","yes","no","no","no","no","no","yes","no","no",0.5,0,"no garden","double","other","other","cenisio","Recent/New",3,"High"
158,"2","yes","4","none",300,"excellent / refurbished","6","central",491000,"yes","yes","yes","no","yes","no","yes","no","no","no","no","no","yes","no","no","no",0,1,"no garden","other","other","other","bruzzano","Modern",6,"Med"
125,"2","yes","4","none",330,"good condition / liveable","2","central",1100000,"no","no","yes","yes","yes","no","yes","yes","no","no","no","no","yes","no","yes","no",0,1,"shared","double","other","other","pagano","Old",4,"Low"
42,"1","no","2","none",100,"excellent / refurbished","ground floor","central",260000,"no","no","yes","no","yes","no","yes","yes","no","no","yes","no","no","no","no","no",0,0.5,"shared","double","other","other","precotto","Modern",1,"Low"
57,"1","yes","2","none",175,"good condition / liveable","4","central",187000,"no","no","no","no","yes","no","no","yes","no","no","no","no","yes","yes","no","no",0,0,"shared","single","other","other","affori","Old",5,"Low"
41,"1","no","2","none",50,"excellent / refurbished","2","independent",125000,"no","no","no","no","yes","no","yes","no","no","no","no","no","no","yes","no","no",0,0,"shared","single","other","other","baggio","Very Old",3,"Med"
75,"1","yes","3","none",0,"new / under construction","2","central",583000,"no","no","no","no","yes","no","no","no","no","no","no","no","yes","yes","no","no",0,0,"no garden","other","other","other","sempione","Modern",6,"Low"
199,"2","no","5+","garage/box",375,"to be refurbished","2","central",1690000,"no","no","yes","yes","no","no","no","yes","no","no","no","no","yes","yes","no","no",0,0,"no garden","double","other","other","amendola - buonarroti","Old",2,"Low"
105,"1","no","3","none",226,"excellent / refurbished","3","independent",820000,"no","no","yes","no","yes","no","yes","no","no","no","no","no","yes","yes","yes","no",0,0.5,"shared","double","other","other","ticinese","Very Old",6,"Low"
70,"1","yes","2","none",0,"new / under construction","2","central",308000,"no","no","no","no","yes","no","no","no","no","no","no","no","yes","yes","no","no",0,0,"no garden","other","other","other","parco trotter","Old",5,"Low"
69,"1","yes","2","none",140,"excellent / refurbished","1","central",285000,"no","no","no","yes","yes","no","yes","yes","no","no","no","no","yes","yes","no","no",0.5,0,"shared","double","other","other","inganni","Modern",3,"Low"
37,"1","yes","1","shared",100,"good condition / liveable","2","central",279000,"no","no","no","no","yes","no","yes","no","no","no","no","no","yes","yes","no","no",1,0.5,"no garden","single","other","wood","pezzotti - meda","Old",6,"Low"
91,"1","no","3","none",233,"good condition / liveable","1","central",535000,"no","no","no","no","yes","no","yes","no","no","no","yes","no","yes","yes","no","no",0,0,"no garden","single","other","other","ascanio sforza","Old",4,"Low"
100,"2","no","3","none",200,"good condition / liveable","1","central",750000,"no","no","no","no","yes","no","yes","no","no","no","no","no","no","no","no","no",0,1,"no garden","double","other","other","carrobbio","Old",5,"Low"
90,"2","yes","3","garage/box",200,"good condition / liveable","9","central",105000,"no","no","yes","no","yes","no","yes","yes","no","no","no","no","yes","yes","yes","no",0,1,"shared","single","other","wood","rubattino","Modern",9,"Low"
114,"2","yes","3","none",0,"new / under construction","1","central",755000,"no","no","yes","yes","yes","no","yes","yes","no","no","yes","no","yes","yes","no","no",0.5,0,"private","double","triple","other","corso san gottardo","Recent/New",5,"High"
118,"1","yes","4","none",250,"to be refurbished","2","central",760000,"no","no","yes","no","yes","no","yes","no","no","no","no","no","yes","yes","yes","no",0,0,"shared","double","other","wood","plebisciti - susa","Very Old",4,"Low"
145,"2","yes","3","garage/box",150,"excellent / refurbished","mezzanine","independent",699000,"no","no","yes","yes","yes","no","yes","yes","no","no","yes","no","yes","yes","no","no",0.5,1,"shared","double","other","other","barona","Modern",3,"Low"
171,"2","yes","4","none",1,"new / under construction","5","central",765500,"no","no","no","yes","yes","no","no","yes","yes","no","no","no","no","no","no","no",0,0,"shared","other","triple","other","gorla","Recent/New",5,"High"
75,"1","yes","2","none",120,"good condition / liveable","1","central",192000,"no","no","yes","no","yes","no","yes","yes","no","no","no","no","yes","no","no","no",0,0,"shared","double","other","other","cantalupa - san paolo","Modern",6,"Low"
48,"1","yes","2","shared",120,"excellent / refurbished","1","independent",249000,"no","no","yes","yes","no","no","no","no","no","no","no","no","yes","no","no","no",0,0,"no garden","other","other","other","pasteur","Very Old",4,"Low"
44,"1","no","2","none",115,"excellent / refurbished","2","central",235000,"no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no",0,1,"no garden","other","other","other","udine","Old",4,"Med"
38,"1","no","2","none",92,"to be refurbished","3","independent",135000,"no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no",0,0,"no garden","single","other","other","villa san giovanni","Old",4,"Low"
85,"1","yes","3","garage/box",150,"excellent / refurbished","1","independent",475000,"no","no","yes","no","yes","no","yes","yes","no","no","no","no","yes","yes","yes","no",0,0.5,"no garden","double","other","other","rovereto","Very Old",4,"Low"
50,"1","yes","2","none",150,"new / under construction","ground floor","independent",325000,"no","no","yes","no","yes","no","yes","yes","no","no","yes","no","no","no","no","no",0,0,"private","single","triple","wood","monte rosa - lotto","Recent/New",1,"High"
112,"2","yes","4","garage/box",300,"good condition / liveable","8","central",530000,"no","no","yes","yes","yes","no","yes","yes","no","no","no","no","yes","yes","no","no",1,1,"shared","single","other","other","corvetto","Old",9,"Low"
80,"1","yes","3","shared",180,"excellent / refurbished","1","central",189000,"no","no","yes","no","yes","no","yes","yes","no","no","no","no","yes","yes","yes","no",0.5,0,"shared","double","other","other","quarto oggiaro","Modern",7,"Low"
130,"2","yes","3","none",333,"to be refurbished","1","central",570000,"no","no","no","no","yes","no","yes","yes","no","no","no","no","yes","yes","yes","no",1,0.5,"shared","double","other","wood","città studi","Old",8,"Med"
80,"2","no","3","none",500,"new / under construction","mezzanine","independent",360000,"no","no","yes","no","yes","yes","no","no","no","no","no","no","no","yes","no","no",0,0,"shared","double","other","other","turro","Recent/New",1,"High"
45,"1","no","1","none",80,"excellent / refurbished","1","independent",239000,"no","no","no","no","yes","no","yes","yes","no","no","no","no","yes","no","no","no",0,1,"no garden","single","other","other","pasteur","Very Old",4,"Low"
70,"1","yes","3","none",190,"excellent / refurbished","3","independent",255000,"no","no","yes","no","yes","no","yes","yes","no","no","no","no","yes","yes","no","no",0,1,"shared","double","other","other","certosa","Modern",4,"Low"
50,"1","yes","2","none",217,"new / under construction","ground floor","central",279000,"no","no","no","no","yes","no","yes","no","no","no","no","no","no","no","no","no",0,0,"no garden","single","other","other","plebisciti - susa","Very Old",4,"Med"
220,"3","yes","5+","garage/box",500,"good condition / liveable","6","central",940000,"no","no","yes","no","yes","no","yes","yes","no","no","no","no","yes","yes","yes","no",1,0,"no garden","double","other","wood","gambara","Old",7,"Low"
60,"1","yes","2","none",170,"good condition / liveable","5","independent",195000,"no","no","yes","no","yes","no","yes","yes","no","no","no","no","yes","no","no","no",0,1,"no garden","single","other","other","bruzzano","Recent/New",5,"Med"
162,"3","yes","3","none",417,"excellent / refurbished","5","central",1680000,"no","no","no","no","yes","no","yes","no","no","no","yes","no","yes","no","no","no",1,1,"no garden","double","other","wood","piave - tricolore","Modern",5,"Low"
90,"1","yes","3","none",166,"to be refurbished","2","central",425000,"no","no","no","no","yes","no","yes","no","no","no","no","no","yes","no","no","no",1,0,"shared","double","other","other","gambara","Modern",7,"Low"
92,"1","yes","3","none",200,"excellent / refurbished","2","central",260000,"no","no","yes","no","yes","no","yes","yes","no","no","yes","no","yes","yes","yes","no",0,0.5,"shared","single","other","other","gallaratese","Modern",12,"Low"
91,"2","no","3","none",250,"good condition / liveable","mezzanine","central",335000,"no","no","no","no","yes","no","yes","yes","no","no","no","no","no","no","no","no",0.5,0,"no garden","single","other","wood","gambara","Very Old",1,"Low"
90,"1","no","2","none",255,"excellent / refurbished","1","central",460000,"no","no","yes","no","yes","no","yes","yes","no","no","yes","no","no","no","yes","no",1,0,"no garden","double","other","wood","città studi","Old",2,"Low"
216,"3","yes","4","none",0,"new / under construction","2","central",2705000,"no","no","yes","yes","yes","no","yes","yes","no","no","yes","no","yes","no","no","no",1,0,"shared","double","other","other","vincenzo monti","Recent/New",6,"High"
110,"1","yes","3","garage/box",250,"good condition / liveable","2","central",599000,"no","no","no","no","yes","no","yes","yes","no","no","yes","no","yes","yes","no","no",1,0.5,"shared","single","other","wood","piazza napoli","Modern",6,"Low"
85,"1","yes","3","none",208,"to be refurbished","3","central",189000,"no","no","yes","no","yes","no","yes","yes","no","no","no","no","yes","yes","no","no",1,0,"shared","single","other","other","san carlo","Old",4,"Low"
35,"1","yes","1","none",80,"excellent / refurbished","mezzanine","central",198000,"no","no","yes","no","yes","no","yes","no","no","no","no","no","no","yes","yes","no",0.5,1,"shared","single","other","other","gambara","Modern",6,"Low"
66,"1","yes","2","none",125,"good condition / liveable","5","independent",265000,"no","no","no","no","no","no","no","no","no","no","no","no","yes","yes","no","no",0,0,"no garden","other","other","other","bovisa","Very Old",5,"Low"
71,"1","yes","2","none",150,"excellent / refurbished","1","central",285000,"no","no","yes","no","yes","no","yes","no","no","no","no","no","yes","yes","no","no",0,0.5,"no garden","double","other","other","corvetto","Old",7,"Med"
145,"2","yes","3","garage/box",133,"good condition / liveable","1","independent",345000,"no","no","yes","yes","yes","yes","yes","no","no","no","no","no","no","no","yes","no",1,0.5,"shared","single","other","wood","gratosoglio","Modern",5,"Low"
150,"2","yes","4","shared",300,"excellent / refurbished","1","central",730000,"no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no",0,0,"no garden","other","other","other","san siro","Modern",4,"Med"
53,"1","yes","2","none",170,"excellent / refurbished","1","central",309000,"no","no","yes","no","yes","no","yes","no","no","no","no","no","yes","no","no","no",0.5,1,"no garden","double","other","other","san siro","Modern",5,"Med"
